ID	Gene Name	Species	KEGG_PATHWAY
carA	Carbamoyl-phosphate synthase small chain	Escherichia coli	ecc00240:Pyrimidine metabolism,ecc00250:Alanine, aspartate and glutamate metabolism,ecd00240:Pyrimidine metabolism,ecd00250:Alanine, aspartate and glutamate metabolism,ece00240:Pyrimidine metabolism,ece00250:Alanine, aspartate and glutamate metabolism,ecf00240:Pyrimidine metabolism,ecf00250:Alanine, aspartate and glutamate metabolism,ecg00240:Pyrimidine metabolism,ecg00250:Alanine, aspartate and glutamate metabolism,eci00240:Pyrimidine metabolism,eci00250:Alanine, aspartate and glutamate metabolism,ecj00240:Pyrimidine metabolism,ecj00250:Alanine, aspartate and glutamate metabolism,eck00240:Pyrimidine metabolism,eck00250:Alanine, aspartate and glutamate metabolism,ecm00240:Pyrimidine metabolism,ecm00250:Alanine, aspartate and glutamate metabolism,eco00240:Pyrimidine metabolism,eco00250:Alanine, aspartate and glutamate metabolism,ecq00240:Pyrimidine metabolism,ecq00250:Alanine, aspartate and glutamate metabolism,ecr00240:Pyrimidine metabolism,ecr00250:Alanine, aspartate and glutamate metabolism,ect00240:Pyrimidine metabolism,ect00250:Alanine, aspartate and glutamate metabolism,ecv00240:Pyrimidine metabolism,ecv00250:Alanine, aspartate and glutamate metabolism,ecw00240:Pyrimidine metabolism,ecw00250:Alanine, aspartate and glutamate metabolism,ecx00240:Pyrimidine metabolism,ecx00250:Alanine, aspartate and glutamate metabolism,ecz00240:Pyrimidine metabolism,ecz00250:Alanine, aspartate and glutamate metabolism,eum00240:Pyrimidine metabolism,eum00250:Alanine, aspartate and glutamate metabolism,
csrA	Carbon storage regulator	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ece02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ect02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
cynT	Carbonic anhydrase 1	Escherichia coli	ece00910:Nitrogen metabolism,ecf00910:Nitrogen metabolism,ecj00910:Nitrogen metabolism,eck00910:Nitrogen metabolism,ecm00910:Nitrogen metabolism,eco00910:Nitrogen metabolism,ecr00910:Nitrogen metabolism,ect00910:Nitrogen metabolism,ecw00910:Nitrogen metabolism,ecx00910:Nitrogen metabolism,eum00910:Nitrogen metabolism,
cls	Cardiolipin synthetase	Escherichia coli	ecc00564:Glycerophospholipid metabolism,ecd00564:Glycerophospholipid metabolism,ece00564:Glycerophospholipid metabolism,ecf00564:Glycerophospholipid metabolism,ecg00564:Glycerophospholipid metabolism,eci00564:Glycerophospholipid metabolism,ecj00564:Glycerophospholipid metabolism,eck00564:Glycerophospholipid metabolism,ecl00564:Glycerophospholipid metabolism,ecm00564:Glycerophospholipid metabolism,eco00564:Glycerophospholipid metabolism,ecp00564:Glycerophospholipid metabolism,ecq00564:Glycerophospholipid metabolism,ecr00564:Glycerophospholipid metabolism,ecs00564:Glycerophospholipid metabolism,ect00564:Glycerophospholipid metabolism,ecv00564:Glycerophospholipid metabolism,ecw00564:Glycerophospholipid metabolism,ecx00564:Glycerophospholipid metabolism,ecy00564:Glycerophospholipid metabolism,ecz00564:Glycerophospholipid metabolism,eum00564:Glycerophospholipid metabolism,
katE	Catalase HPII; Catalase	Escherichia coli	ecc00380:Tryptophan metabolism,ecc00680:Methane metabolism,ecd00380:Tryptophan metabolism,ecd00680:Methane metabolism,ece00380:Tryptophan metabolism,ece00680:Methane metabolism,ecf00380:Tryptophan metabolism,ecf00680:Methane metabolism,ecg00380:Tryptophan metabolism,ecg00680:Methane metabolism,eci00380:Tryptophan metabolism,eci00680:Methane metabolism,ecj00380:Tryptophan metabolism,ecj00680:Methane metabolism,eck00380:Tryptophan metabolism,eck00680:Methane metabolism,ecl00380:Tryptophan metabolism,ecl00680:Methane metabolism,ecm00380:Tryptophan metabolism,ecm00680:Methane metabolism,eco00380:Tryptophan metabolism,eco00680:Methane metabolism,ecp00380:Tryptophan metabolism,ecp00680:Methane metabolism,ecq00380:Tryptophan metabolism,ecq00680:Methane metabolism,ecr00380:Tryptophan metabolism,ecr00680:Methane metabolism,ecs00380:Tryptophan metabolism,ecs00680:Methane metabolism,ect00380:Tryptophan metabolism,ect00680:Methane metabolism,ecv00380:Tryptophan metabolism,ecv00680:Methane metabolism,ecw00380:Tryptophan metabolism,ecw00680:Methane metabolism,ecx00380:Tryptophan metabolism,ecx00680:Methane metabolism,ecy00380:Tryptophan metabolism,ecy00680:Methane metabolism,ecz00380:Tryptophan metabolism,ecz00680:Methane metabolism,eum00380:Tryptophan metabolism,eum00680:Methane metabolism,
cusA	Cation efflux system protein cusA	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
cusB	Cation efflux system protein cusB	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
cusC	Cation efflux system protein cusC	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
ylcC	Cation efflux system protein cusF	Escherichia coli	ece02020:Two-component system,eci02020:Two-component system,
dnaK	Chaperone protein dnaK	Escherichia coli	ecc03018:RNA degradation,ecd03018:RNA degradation,ece03018:RNA degradation,ecf03018:RNA degradation,ecg03018:RNA degradation,eci03018:RNA degradation,ecj03018:RNA degradation,eck03018:RNA degradation,ecl03018:RNA degradation,ecm03018:RNA degradation,eco03018:RNA degradation,ecp03018:RNA degradation,ecq03018:RNA degradation,ecr03018:RNA degradation,ecs03018:RNA degradation,ect03018:RNA degradation,ecv03018:RNA degradation,ecw03018:RNA degradation,ecx03018:RNA degradation,ecy03018:RNA degradation,ecz03018:RNA degradation,eum03018:RNA degradation,
torD	Chaperone protein torD	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ece02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecl02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecp02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ecs02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecy02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
cheA	Chemotaxis protein cheA	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,eci02020:Two-component system,eci02030:Bacterial chemotaxis,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,eck02020:Two-component system,eck02030:Bacterial chemotaxis,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,eco02020:Two-component system,eco02030:Bacterial chemotaxis,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,eum02020:Two-component system,eum02030:Bacterial chemotaxis,
cheW	Chemotaxis protein cheW	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ecd02020:Two-component system,ecd02030:Bacterial chemotaxis,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,eci02020:Two-component system,eci02030:Bacterial chemotaxis,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,eck02020:Two-component system,eck02030:Bacterial chemotaxis,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,eco02020:Two-component system,eco02030:Bacterial chemotaxis,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,eum02020:Two-component system,eum02030:Bacterial chemotaxis,
cheY	Chemotaxis protein cheY	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ecd02020:Two-component system,ecd02030:Bacterial chemotaxis,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,eci02020:Two-component system,eci02030:Bacterial chemotaxis,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,eck02020:Two-component system,eck02030:Bacterial chemotaxis,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,eco02020:Two-component system,eco02030:Bacterial chemotaxis,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,eum02020:Two-component system,eum02030:Bacterial chemotaxis,
cheZ	Chemotaxis protein cheZ	Escherichia coli	ecc02030:Bacterial chemotaxis,ecd02030:Bacterial chemotaxis,ece02030:Bacterial chemotaxis,ecf02030:Bacterial chemotaxis,ecg02030:Bacterial chemotaxis,eci02030:Bacterial chemotaxis,ecj02030:Bacterial chemotaxis,eck02030:Bacterial chemotaxis,ecm02030:Bacterial chemotaxis,eco02030:Bacterial chemotaxis,ecq02030:Bacterial chemotaxis,ecr02030:Bacterial chemotaxis,ect02030:Bacterial chemotaxis,ecv02030:Bacterial chemotaxis,ecw02030:Bacterial chemotaxis,ecx02030:Bacterial chemotaxis,ecz02030:Bacterial chemotaxis,eum02030:Bacterial chemotaxis,
cheR	Chemotaxis protein methyltransferase	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ecd02020:Two-component system,ecd02030:Bacterial chemotaxis,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,eci02020:Two-component system,eci02030:Bacterial chemotaxis,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,eck02020:Two-component system,eck02030:Bacterial chemotaxis,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,eco02020:Two-component system,eco02030:Bacterial chemotaxis,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,eum02020:Two-component system,eum02030:Bacterial chemotaxis,
motA	Chemotaxis protein motA	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ecc02040:Flagellar assembly,ecd02020:Two-component system,ecd02030:Bacterial chemotaxis,ecd02040:Flagellar assembly,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ece02040:Flagellar assembly,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecf02040:Flagellar assembly,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,ecg02040:Flagellar assembly,eci02020:Two-component system,eci02030:Bacterial chemotaxis,eci02040:Flagellar assembly,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,ecj02040:Flagellar assembly,eck02020:Two-component system,eck02030:Bacterial chemotaxis,eck02040:Flagellar assembly,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,ecm02040:Flagellar assembly,eco02020:Two-component system,eco02030:Bacterial chemotaxis,eco02040:Flagellar assembly,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecq02040:Flagellar assembly,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ecr02040:Flagellar assembly,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ect02040:Flagellar assembly,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecv02040:Flagellar assembly,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecw02040:Flagellar assembly,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecx02040:Flagellar assembly,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,ecz02040:Flagellar assembly,eum02020:Two-component system,eum02030:Bacterial chemotaxis,eum02040:Flagellar assembly,
motB	Chemotaxis protein motB	Escherichia coli	ecc02030:Bacterial chemotaxis,ecc02040:Flagellar assembly,ecd02030:Bacterial chemotaxis,ecd02040:Flagellar assembly,ece02030:Bacterial chemotaxis,ece02040:Flagellar assembly,ecf02030:Bacterial chemotaxis,ecf02040:Flagellar assembly,ecg02030:Bacterial chemotaxis,ecg02040:Flagellar assembly,eci02030:Bacterial chemotaxis,eci02040:Flagellar assembly,ecj02030:Bacterial chemotaxis,ecj02040:Flagellar assembly,eck02030:Bacterial chemotaxis,eck02040:Flagellar assembly,ecl02030:Bacterial chemotaxis,ecl02040:Flagellar assembly,ecm02030:Bacterial chemotaxis,ecm02040:Flagellar assembly,eco02030:Bacterial chemotaxis,eco02040:Flagellar assembly,ecp02030:Bacterial chemotaxis,ecp02040:Flagellar assembly,ecq02030:Bacterial chemotaxis,ecq02040:Flagellar assembly,ecr02030:Bacterial chemotaxis,ecr02040:Flagellar assembly,ecs02030:Bacterial chemotaxis,ecs02040:Flagellar assembly,ect02030:Bacterial chemotaxis,ect02040:Flagellar assembly,ecv02030:Bacterial chemotaxis,ecv02040:Flagellar assembly,ecw02030:Bacterial chemotaxis,ecw02040:Flagellar assembly,ecx02030:Bacterial chemotaxis,ecx02040:Flagellar assembly,ecy02030:Bacterial chemotaxis,ecy02040:Flagellar assembly,ecz02030:Bacterial chemotaxis,ecz02040:Flagellar assembly,eum02030:Bacterial chemotaxis,eum02040:Flagellar assembly,
cheB	Chemotaxis response regulator protein-glutamate methylesterase	Escherichia coli	ecc02020:Two-component system,ecc02030:Bacterial chemotaxis,ecd02020:Two-component system,ecd02030:Bacterial chemotaxis,ece02020:Two-component system,ece02030:Bacterial chemotaxis,ecf02020:Two-component system,ecf02030:Bacterial chemotaxis,ecg02020:Two-component system,ecg02030:Bacterial chemotaxis,eci02020:Two-component system,eci02030:Bacterial chemotaxis,ecj02020:Two-component system,ecj02030:Bacterial chemotaxis,eck02020:Two-component system,eck02030:Bacterial chemotaxis,ecm02020:Two-component system,ecm02030:Bacterial chemotaxis,eco02020:Two-component system,eco02030:Bacterial chemotaxis,ecq02020:Two-component system,ecq02030:Bacterial chemotaxis,ecr02020:Two-component system,ecr02030:Bacterial chemotaxis,ect02020:Two-component system,ect02030:Bacterial chemotaxis,ecv02020:Two-component system,ecv02030:Bacterial chemotaxis,ecw02020:Two-component system,ecw02030:Bacterial chemotaxis,ecx02020:Two-component system,ecx02030:Bacterial chemotaxis,ecz02020:Two-component system,ecz02030:Bacterial chemotaxis,eum02020:Two-component system,eum02030:Bacterial chemotaxis,
betA	Choline dehydrogenase	Escherichia coli	ecc00260:Glycine, serine and threonine metabolism,ecd00260:Glycine, serine and threonine metabolism,ece00260:Glycine, serine and threonine metabolism,ecf00260:Glycine, serine and threonine metabolism,ecg00260:Glycine, serine and threonine metabolism,eci00260:Glycine, serine and threonine metabolism,ecj00260:Glycine, serine and threonine metabolism,eck00260:Glycine, serine and threonine metabolism,ecm00260:Glycine, serine and threonine metabolism,eco00260:Glycine, serine and threonine metabolism,ecr00260:Glycine, serine and threonine metabolism,ect00260:Glycine, serine and threonine metabolism,ecv00260:Glycine, serine and threonine metabolism,ecw00260:Glycine, serine and threonine metabolism,ecx00260:Glycine, serine and threonine metabolism,ecz00260:Glycine, serine and threonine metabolism,eum00260:Glycine, serine and threonine metabolism,
aroC	Chorismate synthase	Escherichia coli	ecc00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecd00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ece00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecf00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecg00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eci00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecj00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eck00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecm00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecq00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecr00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ect00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecv00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecw00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecx00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecz00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eum00400:Phenylalanine, tyrosine and tryptophan biosynthesis,
citT	Citrate carrier	Escherichia coli	ecd02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eco02020:Two-component system,ecw02020:Two-component system,
citD	Citrate lyase acyl carrier protein	Escherichia coli	ecd00020:Citrate cycle (TCA cycle),ecd02020:Two-component system,ece00020:Citrate cycle (TCA cycle),ece02020:Two-component system,ecf00020:Citrate cycle (TCA cycle),ecf02020:Two-component system,ecg00020:Citrate cycle (TCA cycle),ecg02020:Two-component system,eci00020:Citrate cycle (TCA cycle),eci02020:Two-component system,ecj00020:Citrate cycle (TCA cycle),ecj02020:Two-component system,eck00020:Citrate cycle (TCA cycle),eck02020:Two-component system,ecm00020:Citrate cycle (TCA cycle),ecm02020:Two-component system,eco00020:Citrate cycle (TCA cycle),eco02020:Two-component system,ecq00020:Citrate cycle (TCA cycle),ecq02020:Two-component system,ecr00020:Citrate cycle (TCA cycle),ecr02020:Two-component system,ect00020:Citrate cycle (TCA cycle),ect02020:Two-component system,ecw00020:Citrate cycle (TCA cycle),ecw02020:Two-component system,ecx00020:Citrate cycle (TCA cycle),ecx02020:Two-component system,ecz00020:Citrate cycle (TCA cycle),ecz02020:Two-component system,eum00020:Citrate cycle (TCA cycle),eum02020:Two-component system,
citF	Citrate lyase alpha chain	Escherichia coli	ecc00020:Citrate cycle (TCA cycle),ecc02020:Two-component system,ecd00020:Citrate cycle (TCA cycle),ecd02020:Two-component system,ece00020:Citrate cycle (TCA cycle),ece02020:Two-component system,ecf00020:Citrate cycle (TCA cycle),ecf02020:Two-component system,ecg00020:Citrate cycle (TCA cycle),ecg02020:Two-component system,eci00020:Citrate cycle (TCA cycle),eci02020:Two-component system,ecj00020:Citrate cycle (TCA cycle),ecj02020:Two-component system,eck00020:Citrate cycle (TCA cycle),eck02020:Two-component system,ecm00020:Citrate cycle (TCA cycle),ecm02020:Two-component system,eco00020:Citrate cycle (TCA cycle),eco02020:Two-component system,ecq00020:Citrate cycle (TCA cycle),ecq02020:Two-component system,ecr00020:Citrate cycle (TCA cycle),ecr02020:Two-component system,ect00020:Citrate cycle (TCA cycle),ect02020:Two-component system,ecv00020:Citrate cycle (TCA cycle),ecv02020:Two-component system,ecw00020:Citrate cycle (TCA cycle),ecw02020:Two-component system,ecx00020:Citrate cycle (TCA cycle),ecx02020:Two-component system,ecz00020:Citrate cycle (TCA cycle),ecz02020:Two-component system,eum00020:Citrate cycle (TCA cycle),eum02020:Two-component system,
citE	Citrate lyase subunit beta	Escherichia coli	ecc00020:Citrate cycle (TCA cycle),ecc02020:Two-component system,ecd00020:Citrate cycle (TCA cycle),ecd02020:Two-component system,ece00020:Citrate cycle (TCA cycle),ece02020:Two-component system,ecf00020:Citrate cycle (TCA cycle),ecf02020:Two-component system,ecg00020:Citrate cycle (TCA cycle),ecg02020:Two-component system,eci00020:Citrate cycle (TCA cycle),eci02020:Two-component system,ecj00020:Citrate cycle (TCA cycle),ecj02020:Two-component system,eck00020:Citrate cycle (TCA cycle),eck02020:Two-component system,ecm00020:Citrate cycle (TCA cycle),ecm02020:Two-component system,eco00020:Citrate cycle (TCA cycle),eco02020:Two-component system,ecq00020:Citrate cycle (TCA cycle),ecq02020:Two-component system,ecr00020:Citrate cycle (TCA cycle),ecr02020:Two-component system,ect00020:Citrate cycle (TCA cycle),ect02020:Two-component system,ecv00020:Citrate cycle (TCA cycle),ecv02020:Two-component system,ecw00020:Citrate cycle (TCA cycle),ecw02020:Two-component system,ecx00020:Citrate cycle (TCA cycle),ecx02020:Two-component system,ecz00020:Citrate cycle (TCA cycle),ecz02020:Two-component system,eum00020:Citrate cycle (TCA cycle),eum02020:Two-component system,
gltA	Citrate synthase	Escherichia coli	ecc00020:Citrate cycle (TCA cycle),ecc00630:Glyoxylate and dicarboxylate metabolism,ecd00020:Citrate cycle (TCA cycle),ecd00630:Glyoxylate and dicarboxylate metabolism,ece00020:Citrate cycle (TCA cycle),ece00630:Glyoxylate and dicarboxylate metabolism,ecf00020:Citrate cycle (TCA cycle),ecf00630:Glyoxylate and dicarboxylate metabolism,ecg00020:Citrate cycle (TCA cycle),ecg00630:Glyoxylate and dicarboxylate metabolism,eci00020:Citrate cycle (TCA cycle),eci00630:Glyoxylate and dicarboxylate metabolism,ecj00020:Citrate cycle (TCA cycle),ecj00630:Glyoxylate and dicarboxylate metabolism,eck00020:Citrate cycle (TCA cycle),eck00630:Glyoxylate and dicarboxylate metabolism,ecl00020:Citrate cycle (TCA cycle),ecl00630:Glyoxylate and dicarboxylate metabolism,ecm00020:Citrate cycle (TCA cycle),ecm00630:Glyoxylate and dicarboxylate metabolism,eco00020:Citrate cycle (TCA cycle),eco00630:Glyoxylate and dicarboxylate metabolism,ecp00020:Citrate cycle (TCA cycle),ecp00630:Glyoxylate and dicarboxylate metabolism,ecq00020:Citrate cycle (TCA cycle),ecq00630:Glyoxylate and dicarboxylate metabolism,ecr00020:Citrate cycle (TCA cycle),ecr00630:Glyoxylate and dicarboxylate metabolism,ecs00020:Citrate cycle (TCA cycle),ecs00630:Glyoxylate and dicarboxylate metabolism,ect00020:Citrate cycle (TCA cycle),ect00630:Glyoxylate and dicarboxylate metabolism,ecv00020:Citrate cycle (TCA cycle),ecv00630:Glyoxylate and dicarboxylate metabolism,ecw00020:Citrate cycle (TCA cycle),ecw00630:Glyoxylate and dicarboxylate metabolism,ecx00020:Citrate cycle (TCA cycle),ecx00630:Glyoxylate and dicarboxylate metabolism,ecy00020:Citrate cycle (TCA cycle),ecy00630:Glyoxylate and dicarboxylate metabolism,ecz00020:Citrate cycle (TCA cycle),ecz00630:Glyoxylate and dicarboxylate metabolism,eum00020:Citrate cycle (TCA cycle),eum00630:Glyoxylate and dicarboxylate metabolism,
btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	Escherichia coli	ecc00860:Porphyrin and chlorophyll metabolism,ecd00860:Porphyrin and chlorophyll metabolism,ece00860:Porphyrin and chlorophyll metabolism,ecf00860:Porphyrin and chlorophyll metabolism,ecg00860:Porphyrin and chlorophyll metabolism,eci00860:Porphyrin and chlorophyll metabolism,ecj00860:Porphyrin and chlorophyll metabolism,eck00860:Porphyrin and chlorophyll metabolism,ecm00860:Porphyrin and chlorophyll metabolism,eco00860:Porphyrin and chlorophyll metabolism,ecq00860:Porphyrin and chlorophyll metabolism,ecr00860:Porphyrin and chlorophyll metabolism,ect00860:Porphyrin and chlorophyll metabolism,ecv00860:Porphyrin and chlorophyll metabolism,ecw00860:Porphyrin and chlorophyll metabolism,ecx00860:Porphyrin and chlorophyll metabolism,ecz00860:Porphyrin and chlorophyll metabolism,eum00860:Porphyrin and chlorophyll metabolism,
cobS	Cobalamin synthase	Escherichia coli	ecc00860:Porphyrin and chlorophyll metabolism,ecd00860:Porphyrin and chlorophyll metabolism,ece00860:Porphyrin and chlorophyll metabolism,ecf00860:Porphyrin and chlorophyll metabolism,ecg00860:Porphyrin and chlorophyll metabolism,eci00860:Porphyrin and chlorophyll metabolism,ecj00860:Porphyrin and chlorophyll metabolism,eck00860:Porphyrin and chlorophyll metabolism,ecl00860:Porphyrin and chlorophyll metabolism,ecm00860:Porphyrin and chlorophyll metabolism,eco00860:Porphyrin and chlorophyll metabolism,ecp00860:Porphyrin and chlorophyll metabolism,ecq00860:Porphyrin and chlorophyll metabolism,ecr00860:Porphyrin and chlorophyll metabolism,ecs00860:Porphyrin and chlorophyll metabolism,ect00860:Porphyrin and chlorophyll metabolism,ecv00860:Porphyrin and chlorophyll metabolism,ecw00860:Porphyrin and chlorophyll metabolism,ecx00860:Porphyrin and chlorophyll metabolism,ecy00860:Porphyrin and chlorophyll metabolism,ecz00860:Porphyrin and chlorophyll metabolism,eum00860:Porphyrin and chlorophyll metabolism,
tynA	Copper amine oxidase	Escherichia coli	ecl00260:Glycine, serine and threonine metabolism,ecl00350:Tyrosine metabolism,ecl00360:Phenylalanine metabolism,ecl00410:beta-Alanine metabolism,
tynA	Copper amine oxidase; Primary amine oxidase	Escherichia coli	ecd00260:Glycine, serine and threonine metabolism,ecd00350:Tyrosine metabolism,ecd00360:Phenylalanine metabolism,ecd00410:beta-Alanine metabolism,ecj00260:Glycine, serine and threonine metabolism,ecj00350:Tyrosine metabolism,ecj00360:Phenylalanine metabolism,ecj00410:beta-Alanine metabolism,eck00260:Glycine, serine and threonine metabolism,eck00350:Tyrosine metabolism,eck00360:Phenylalanine metabolism,eck00410:beta-Alanine metabolism,eco00260:Glycine, serine and threonine metabolism,eco00350:Tyrosine metabolism,eco00360:Phenylalanine metabolism,eco00410:beta-Alanine metabolism,ecr00260:Glycine, serine and threonine metabolism,ecr00350:Tyrosine metabolism,ecr00360:Phenylalanine metabolism,ecr00410:beta-Alanine metabolism,ecw00260:Glycine, serine and threonine metabolism,ecw00350:Tyrosine metabolism,ecw00360:Phenylalanine metabolism,ecw00410:beta-Alanine metabolism,ecx00260:Glycine, serine and threonine metabolism,ecx00350:Tyrosine metabolism,ecx00360:Phenylalanine metabolism,ecx00410:beta-Alanine metabolism,ecy00260:Glycine, serine and threonine metabolism,ecy00350:Tyrosine metabolism,ecy00360:Phenylalanine metabolism,ecy00410:beta-Alanine metabolism,
