Protein_id,gene_name,mRNA_ID,b#
YP_003043886.1,phrB,ECB_00668,b0708
YP_003043887.1,ybgH,ECB_00669,b0709
YP_003043888.1,ybgI,ECB_00670,b0710
YP_003043889.1,ybgJ,ECB_00671,b0711
YP_003043890.1,ybgK,ECB_00672,b0712
YP_003043891.1,ybgL,ECB_00673,b0713
YP_003043892.1,nei,ECB_00674,b0714
YP_003043893.1,abrB,ECB_00675,b0715
YP_003043894.1,ybgO,ECB_00676,b0716
YP_003043895.1,ybgP,ECB_00677,b0717
YP_003043896.1,ybgQ,ECB_00678,b0718
YP_003043897.1,ybgD,ECB_00679,b0719
YP_003043898.1,gltA,ECB_00680,b0720
YP_003043899.1,sdhC,ECB_00681,b0721
YP_003043900.1,sdhD,ECB_00682,b0722
YP_003043901.1,sdhA,ECB_00683,b0723
YP_003043902.1,sdhB,ECB_00684,b0724
YP_003043903.1,sucA,ECB_00685,b0726
YP_003043904.1,sucB,ECB_00686,b0727
YP_003043905.1,sucC,ECB_00687,b0728
YP_003043906.1,sucD,ECB_00688,b0729
YP_003043907.1,farR,ECB_00689,b0730
YP_003043908.1,hrsA,ECB_00690,b0731
YP_003043909.1,ybgG,ECB_00691,b0732
YP_003043910.1,cydA,ECB_00692,b0733
YP_003043911.1,cydB,ECB_00693,b0734
YP_003043913.1,ybgE,ECB_00695,b0735
YP_003043914.1,ybgC,ECB_00696,b0736
YP_003043915.1,tolQ,ECB_00697,b0737
YP_003043916.1,tolR,ECB_00698,b0738
YP_003043917.1,tolA,ECB_00699,b0739
YP_003043918.1,tolB,ECB_00700,b0740
YP_003043919.1,pal,ECB_00701,b0741
YP_003043920.1,ybgF,ECB_00702,b0742
YP_003043921.1,nadA,ECB_00703,b0750
YP_003043922.1,pnuC,ECB_00704,b0751
YP_003043923.1,ybgR,ECB_00705,b0752
YP_003043924.1,ybgS,ECB_00706,b0753
YP_003043925.1,aroG,ECB_00707,b0754
YP_003043926.1,gpmA,ECB_00708,b0755
YP_003043927.1,galM,ECB_00709,b0756
YP_003043928.1,galK,ECB_00710,b0757
YP_003043929.1,galT,ECB_00711,b0758
YP_003043930.1,galE,ECB_00712,b0759
YP_003043931.1,modF,ECB_00713,b0760
YP_003043932.1,modE,ECB_00714,b0761
YP_003043933.1,ybhT,ECB_00715,b0762
YP_003043934.1,modA,ECB_00716,b0763
YP_003043935.1,modB,ECB_00717,b0764
YP_003043936.1,modC,ECB_00718,b0765
YP_003043937.1,ybhA,ECB_00719,b0766
YP_003043938.1,ybhE,ECB_00720,b0767
YP_003043939.1,ybhD,ECB_00721,b0768
YP_003043940.1,ybhH,ECB_00722,b0769
YP_003043941.1,ybhI,ECB_00723,b0770
YP_003043942.1,ybhJ,ECB_00724,b0771
YP_003043943.1,ybhC,ECB_00725,b0772
YP_003043958.1,ybhB,ECB_00740,b0773
YP_003043959.1,bioA,ECB_00741,b0774
YP_003043960.1,bioB,ECB_00742,b0775
YP_003043961.1,bioF,ECB_00743,b0776
YP_003043962.1,bioC,ECB_00744,b0777
YP_003043963.1,bioD,ECB_00745,b0778
YP_003043964.1,uvrB,ECB_00746,b0779
YP_003043965.1,ybhK,ECB_00747,b0780
YP_003043966.1,moaA,ECB_00748,b0781
YP_003043967.1,moaB,ECB_00749,b0782
YP_003043968.1,moaC,ECB_00750,b0783
YP_003043969.1,moaD,ECB_00751,b0784
YP_003043970.1,moaE,ECB_00752,b0785
YP_003043971.1,ybhL,ECB_00753,b0786
YP_003043972.1,ybhM,ECB_00754,b0787
YP_003043973.1,ybhN,ECB_00755,b0788
YP_003043974.1,ybhO,ECB_00756,b0789
YP_003043975.1,ybhP,ECB_00757,b0790
YP_003043976.1,ybhQ,ECB_00758,b0791
YP_003043977.1,ybhR,ECB_00759,b0792
YP_003043978.1,ybhS,ECB_00760,b0793
YP_003043979.1,ybhF,ECB_00761,b0794
YP_003043980.1,ybhG,ECB_00762,b0795
YP_003043981.1,ybiH,ECB_00763,b0796
YP_003043982.1,rhlE,ECB_00764,b0797
YP_003043983.1,ybiA,ECB_00765,b0798
YP_003043984.1,dinG,ECB_00766,b0799
YP_003043985.1,ybiB,ECB_00767,b0800
YP_003043986.1,ybiC,ECB_00768,b0801
YP_003043987.1,ybiJ,ECB_00769,b0802
YP_003043988.1,ybiI,ECB_00770,b0803
YP_003043989.1,ybiX,ECB_00771,b0804
YP_003043990.1,ybiL,ECB_00772,b0805
YP_003043991.1,ybiM,ECB_00773,b0806
YP_003043992.1,ybiN,ECB_00774,b0807
YP_003043993.1,ybiO,ECB_00775,b0808
YP_003043994.1,glnQ,ECB_00776,b0809
YP_003043995.1,glnP,ECB_00777,b0810
YP_003043996.1,glnH,ECB_00778,b0811
YP_003043997.1,dps,ECB_00779,b0812
YP_003043998.1,ybiF,ECB_00780,b0813
YP_003043999.1,ompX,ECB_00781,b0814
YP_003044000.1,ybiP,ECB_00782,b0815
YP_003044002.1,mntR,ECB_00784,b0817
YP_003044003.1,ybiR,ECB_00785,b0818
YP_003044004.1,ybiS,ECB_00786,b0819
YP_003044005.1,ybiT,ECB_00787,b0820
YP_003044006.1,ybiU,ECB_00788,b0821
YP_003044007.1,ybiV,ECB_00789,b0822
YP_003044008.1,ybiW,ECB_00790,b0823
YP_003044009.1,ybiY,ECB_00791,b0824
YP_003044011.1,moeB,ECB_00793,b0826
YP_003044012.1,moeA,ECB_00794,b0827
YP_003044013.1,ybiK,ECB_00795,b0828
YP_003044014.1,yliA,ECB_00796,b0829
YP_003044015.1,yliB,ECB_00797,b0830
YP_003044016.1,yliC,ECB_00798,b0831
YP_003044017.1,yliD,ECB_00799,b0832
YP_003044018.1,yliE,ECB_00800,b0833
YP_003044019.1,yliF,ECB_00801,b0834
YP_003044020.1,rimO,ECB_00802,b0835
YP_003044021.1,bssR,ECB_00803,b0836
YP_003044022.1,yliI,ECB_00804,b0837
YP_003044023.1,yliJ,ECB_00805,b0838
YP_003044024.1,dacC,ECB_00806,b0839
YP_003044025.1,deoR,ECB_00807,b0840
YP_003044026.1,ybjG,ECB_00808,b0841
YP_003044027.1,cmr,ECB_00809,b0842
YP_003044028.1,ybjH,ECB_00810,b0843
YP_003044029.1,ybjI,ECB_00811,b0844
YP_003044030.1,ybjJ,ECB_00812,b0845
YP_003044031.1,ybjK,ECB_00813,b0846
YP_003044070.1,ybjL,ECB_00852,b0847
YP_003044071.1,ybjM,ECB_00853,b0848
YP_003044072.1,grxA,ECB_00854,b0849
YP_003044073.1,ybjC,ECB_00855,b0850
YP_003044074.1,nfsA,ECB_00856,b0851
YP_003044075.1,rimK,ECB_00857,b0852
YP_003044076.1,ybjN,ECB_00858,b0853
YP_003044077.1,potF,ECB_00859,b0854
YP_003044078.1,potG,ECB_00860,b0855
YP_003044079.1,potH,ECB_00861,b0856
YP_003044080.1,potI,ECB_00862,b0857
YP_003044081.1,ybjO,ECB_00863,b0858
YP_003044082.1,rumB,ECB_00864,b0859
YP_003044083.1,artJ,ECB_00865,b0860
YP_003044084.1,artM,ECB_00866,b0861
YP_003044085.1,artQ,ECB_00867,b0862
YP_003044086.1,artI,ECB_00868,b0863
YP_003044087.1,artP,ECB_00869,b0864
YP_003044088.1,ybjP,ECB_00870,b0865
YP_003044089.1,ybjQ,ECB_00871,b0866
YP_003044090.1,ybjR,ECB_00872,b0867
YP_003044091.1,ybjS,ECB_00873,b0868
YP_003044092.1,ybjT,ECB_00874,b0869
YP_003044093.1,ltaE,ECB_00875,b0870
YP_003044094.1,poxB,ECB_00876,b0871
YP_003044095.1,hcr,ECB_00877,b0872
YP_003044096.1,hcp,ECB_00878,b0873
YP_003044097.1,ybjE,ECB_00879,b0874
YP_003044098.1,aqpZ,ECB_00880,b0875
YP_003044099.1,ybjD,ECB_00881,b0876
YP_003044100.1,ybjX,ECB_00882,b0877
YP_003044101.1,macA,ECB_00883,b0878
YP_003044102.1,macB,ECB_00884,b0879
YP_003044103.1,cspD,ECB_00885,b0880
YP_003044104.1,clpS,ECB_00886,b0881
YP_003044105.1,clpA,ECB_00887,b0882
YP_003044106.1,infA,ECB_00888,b0884
YP_003044107.1,aat,ECB_00889,b0885
YP_003044108.1,cydC,ECB_00890,b0886
YP_003044109.1,cydD,ECB_00891,b0887
YP_003044110.1,trxB,ECB_00892,b0888
YP_003044111.1,lrp,ECB_00893,b0889
YP_003044112.1,ftsK,ECB_00894,b0890
YP_003044113.1,lolA,ECB_00895,b0891
YP_003044114.1,ycaJ,ECB_00896,b0892
YP_003044115.1,serS,ECB_00897,b0893
YP_003044116.1,dmsA,ECB_00898,b0894
YP_003044117.1,dmsB,ECB_00899,b0895
YP_003044118.1,dmsC,ECB_00900,b0896
YP_003044119.1,ycaC,ECB_00901,b0897
YP_003044120.1,ycaD,ECB_00902,b0898
YP_003044121.1,ycaM,ECB_00903,b0899
YP_003044122.1,ycaN,ECB_00904,b0900
YP_003044123.1,ycaK,ECB_00905,b0901
YP_003044124.1,pflA,ECB_00906,b0902
YP_003044125.1,pflB,ECB_00907,b0903
YP_003044126.1,focA,ECB_00908,b0904
YP_003044127.1,ycaO,ECB_00909,b0905
YP_003044128.1,ycaP,ECB_00910,b0906
YP_003044129.1,serC,ECB_00911,b0907
YP_003044130.1,aroA,ECB_00912,b0908
YP_003044131.1,ycaL,ECB_00913,b0909
YP_003044132.1,cmk,ECB_00914,b0910
YP_003044133.1,rpsA,ECB_00915,b0911
YP_003044134.1,ihfB,ECB_00916,b0912
YP_003044135.1,ycaI,ECB_00917,b0913
YP_003044136.1,msbA,ECB_00918,b0914
YP_003044137.1,lpxK,ECB_00919,b0915
YP_003044138.1,ycaQ,ECB_00920,b0916
YP_003044139.1,ycaR,ECB_00921,b0917
YP_003044140.1,kdsB,ECB_00922,b0918
YP_003044141.1,ycbJ,ECB_00923,b0919
YP_003044142.1,ycbC,ECB_00924,b0920
YP_003044143.1,smtA,ECB_00925,b0921
YP_003044144.1,mukF,ECB_00926,b0922
YP_003044145.1,mukE,ECB_00927,b0923
YP_003044146.1,mukB,ECB_00928,b0924
YP_003044147.1,ycbB,ECB_00929,b0925
YP_003044148.1,ycbK,ECB_00930,b0926
YP_003044149.1,ycbL,ECB_00931,b0927
YP_003044150.1,aspC,ECB_00932,b0928
YP_003044151.1,ompF,ECB_00933,b0929
YP_003044153.1,pncB,ECB_00935,b0931
YP_003044154.1,pepN,ECB_00936,b0932
YP_003044155.1,ssuB,ECB_00937,b0933
YP_003044156.1,ssuC,ECB_00938,b0934
YP_003044157.1,ssuD,ECB_00939,b0935
YP_003044158.1,ssuA,ECB_00940,b0936
YP_003044159.1,ssuE,ECB_00941,b0937
YP_003044160.1,ycbQ,ECB_00942,b0938
YP_003044161.1,ycbR,ECB_00943,b0939
YP_003044162.1,ycbS,ECB_00944,b0940
YP_003044163.1,ycbT,ECB_00945,b0941
YP_003044164.1,ycbU,ECB_00946,b0942
YP_003044165.1,ycbV,ECB_00947,b0943
YP_003044166.1,ycbF,ECB_00948,b0944
YP_003044167.1,pyrD,ECB_00949,b0945
YP_003044168.1,ycbW,ECB_00950,b0946
YP_003044169.1,ycbX,ECB_00951,b0947
YP_003044170.1,rlmL,ECB_00952,b0948
YP_003044171.1,uup,ECB_00953,b0949
YP_003044172.1,pqiA,ECB_00954,b0950
YP_003044173.1,pqiB,ECB_00955,b0951
YP_003044174.1,ymbA,ECB_00956,b0952
YP_003044175.1,rmf,ECB_00957,b0953
YP_003044176.1,fabA,ECB_00958,b0954
YP_003044177.1,ycbZ,ECB_00959,b0955
YP_003044178.1,ycbG,ECB_00960,b0956
YP_003044179.1,ompA,ECB_00961,b0957
YP_003044180.1,sulA,ECB_00962,b0958
YP_003044181.1,yccR,ECB_00963,b0959
YP_003044182.1,yccS,ECB_00964,b0960
YP_003044183.1,yccF,ECB_00965,b0961
YP_003044184.1,helD,ECB_00966,b0962
YP_003044185.1,mgsA,ECB_00967,b0963
YP_003044186.1,yccT,ECB_00968,b0964
YP_003044187.1,yccU,ECB_00969,b0965
YP_003044188.1,yccV,ECB_00970,b0966
YP_003044189.1,yccW,ECB_00971,b0967
YP_003044190.1,yccX,ECB_00972,b0968
YP_003044191.1,yccK,ECB_00973,b0969
YP_003044192.1,yccA,ECB_00974,b0970
YP_003044193.1,hyaA,ECB_00975,b0972
YP_003044194.1,hyaB,ECB_00976,b0973
YP_003044195.1,hyaC,ECB_00977,b0974
YP_003044196.1,hyaD,ECB_00978,b0975
YP_003044197.1,hyaE,ECB_00979,b0976
YP_003044198.1,hyaF,ECB_00980,b0977
YP_003044199.1,appC,ECB_00981,b0978
YP_003044200.1,appB,ECB_00982,b0979
YP_003044201.1,appA,ECB_00983,b0980
YP_003044202.1,yccC,ECB_00984,b0981
YP_003044203.1,etp,ECB_00985,b0982
YP_003044204.1,yccZ,ECB_00986,b0983
YP_003044205.1,ymcA,ECB_00987,b0984
YP_003044206.1,ymcB,ECB_00988,b0985
YP_003044207.1,ymcC,ECB_00989,b0986
YP_003044208.1,ymcD,ECB_00990,b0987
YP_003044209.1,cspH,ECB_00991,b0989
YP_003044210.1,cspG,ECB_00992,b0990
YP_003044211.1,sfa,ECB_00993,b0991
YP_003044213.1,yccM,ECB_00995,b0992
YP_003044214.1,torS,ECB_00996,b0993
YP_003044215.1,torT,ECB_00997,b0994
YP_003044216.1,torR,ECB_00998,b0995
YP_003044217.1,torC,ECB_00999,b0996
YP_003044218.1,torA,ECB_01000,b0997
YP_003044219.1,torD,ECB_01001,b0998
YP_003044220.1,yccD,ECB_01002,b0999
YP_003044221.1,cbpA,ECB_01003,b1000
YP_003044222.1,yccE,ECB_01004,b1001
YP_003044223.1,agp,ECB_01005,b1002
YP_003044224.1,yccJ,ECB_01006,b1003
YP_003044225.1,wrbA,ECB_01007,b1004
YP_003044227.1,ycdG,ECB_01009,b1006
YP_003044228.1,ycdH,ECB_01010,b1007
YP_003044229.1,ycdI,ECB_01011,b1008
YP_003044230.1,ycdJ,ECB_01012,b1009
YP_003044231.1,ycdK,ECB_01013,b1010
YP_003044232.1,ycdL,ECB_01014,b1011
YP_003044233.1,ycdM,ECB_01015,b1012
YP_003044234.1,ycdC,ECB_01016,b1013
YP_003044235.1,putA,ECB_01017,b1014
YP_003044236.1,putP,ECB_01018,b1015
YP_003044238.1,ycdO,ECB_01020,b1018
YP_003044239.1,ycdB,ECB_01021,b1019
YP_003044240.1,phoH,ECB_01022,b1020
YP_003044241.1,pgaD,ECB_01023,b1021
YP_003044242.1,ycdQ,ECB_01024,b1022
YP_003044243.1,pgaB,ECB_01025,b1023
YP_003044244.1,pgaA,ECB_01026,b1024
YP_003044245.1,ycdT,ECB_01027,b1025
YP_003044248.1,ycdW,ECB_01030,b1033
YP_003044249.1,ycdX,ECB_01031,b1034
YP_003044250.1,ycdY,ECB_01032,b1035
YP_003044251.1,ycdZ,ECB_01033,b1036
YP_003044252.1,csgG,ECB_01034,b1037
YP_003044253.1,csgF,ECB_01035,b1038
YP_003044254.1,csgE,ECB_01036,b1039
YP_003044255.1,csgD,ECB_01037,b1040
YP_003044256.1,csgB,ECB_01038,b1041
YP_003044257.1,csgA,ECB_01039,b1042
YP_003044258.1,csgC,ECB_01040,b1043
YP_003044259.1,ymdA,ECB_01041,b1044
YP_003044260.1,ymdB,ECB_01042,b1045
YP_003044261.1,ymdC,ECB_01043,b1046
YP_003044262.1,mdoC,ECB_01044,b1047
YP_003044263.1,mdoG,ECB_01045,b1048
YP_003044264.1,mdoH,ECB_01046,b1049
YP_003044265.1,yceK,ECB_01047,b1050
YP_003044266.1,msyB,ECB_01048,b1051
YP_003044267.1,yceE,ECB_01049,b1053
YP_003044268.1,htrB,ECB_01050,b1054
YP_003044269.1,yceA,ECB_01051,b1055
YP_003044270.1,yceI,ECB_01052,b1056
YP_003044271.1,yceJ,ECB_01053,b1057
YP_003044272.1,yceO,ECB_01054,b1058
YP_003044273.1,solA,ECB_01055,b1059
YP_003044274.1,bssS,ECB_01056,b1060
YP_003044275.1,dinI,ECB_01057,b1061
YP_003044276.1,pyrC,ECB_01058,b1062
YP_003044277.1,yceB,ECB_01059,b1063
YP_003044278.1,grxB,ECB_01060,b1064
YP_003044279.1,yceL,ECB_01061,b1065
YP_003044280.1,rimJ,ECB_01062,b1066
YP_003044281.1,yceH,ECB_01063,b1067
YP_003044282.1,mviM,ECB_01064,b1068
YP_003044283.1,mviN,ECB_01065,b1069
YP_003044284.1,flgN,ECB_01066,b1070
YP_003044285.1,flgM,ECB_01067,b1071
YP_003044286.1,flgA,ECB_01068,b1072
YP_003044287.1,flgB,ECB_01069,b1073
YP_003044288.1,flgC,ECB_01070,b1074
YP_003044289.1,flgD,ECB_01071,b1075
YP_003044290.1,flgE,ECB_01072,b1076
YP_003044291.1,flgF,ECB_01073,b1077
YP_003044292.1,flgG,ECB_01074,b1078
YP_003044293.1,flgH,ECB_01075,b1079
YP_003044294.1,flgI,ECB_01076,b1080
YP_003044295.1,flgJ,ECB_01077,b1081
YP_003044296.1,flgK,ECB_01078,b1082
YP_003044297.1,flgL,ECB_01079,b1083
YP_003044298.1,rne,ECB_01080,b1084
YP_003044300.1,rluC,ECB_01082,b1086
YP_003044301.1,yceF,ECB_01083,b1087
YP_003044302.1,yceD,ECB_01084,b1088
YP_003044303.1,rpmF,ECB_01085,b1089
YP_003044304.1,plsX,ECB_01086,b1090
YP_003044305.1,fabH,ECB_01087,b1091
YP_003044306.1,fabD,ECB_01088,b1092
YP_003044307.1,fabG,ECB_01089,b1093
YP_003044308.1,acpP,ECB_01090,b1094
YP_003044309.1,fabF,ECB_01091,b1095
YP_003044310.1,pabC,ECB_01092,b1096
YP_003044311.1,yceG,ECB_01093,b1097
YP_003044312.1,tmk,ECB_01094,b1098
YP_003044313.1,holB,ECB_01095,b1099
YP_003044314.1,ycfH,ECB_01096,b1100
YP_003044315.1,ptsG,ECB_01097,b1101
YP_003044316.1,fhuE,ECB_01098,b1102
YP_003044317.1,ycfF,ECB_01099,b1103
YP_003044318.1,ycfL,ECB_01100,b1104
YP_003044319.1,ycfM,ECB_01101,b1105
YP_003044320.1,thiK,ECB_01102,b1106
YP_003044321.1,nagZ,ECB_01103,b1107
YP_003044322.1,ycfP,ECB_01104,b1108
YP_003044323.1,ndh,ECB_01105,b1109
YP_003044324.1,ycfJ,ECB_01106,b1110
YP_003044325.1,ycfQ,ECB_01107,b1111
YP_003044326.1,ycfR,ECB_01108,b1112
YP_003044327.1,ycfS,ECB_01109,b1113
YP_003044328.1,mfd,ECB_01110,b1114
YP_003044329.1,ycfT,ECB_01111,b1115
YP_003044330.1,ycfU,ECB_01112,b1116
YP_003044331.1,lolD,ECB_01113,b1117
YP_003044332.1,ycfW,ECB_01114,b1118
YP_003044335.1,cobB,ECB_01118,b1120
YP_003044336.1,ycfZ,ECB_01119,b1121
YP_003044337.1,ymfA,ECB_01120,b1122
YP_003044338.1,potD,ECB_01121,b1123
YP_003044339.1,potC,ECB_01122,b1124
YP_003044340.1,potB,ECB_01123,b1125
YP_003044341.1,potA,ECB_01124,b1126
YP_003044342.1,pepT,ECB_01125,b1127
YP_003044343.1,ycfD,ECB_01126,b1128
YP_003044344.1,phoQ,ECB_01127,b1129
YP_003044345.1,phoP,ECB_01128,b1130
YP_003044346.1,purB,ECB_01129,b1131
YP_003044347.1,ycfC,ECB_01130,b1132
YP_003044348.1,mnmA,ECB_01131,b1133
YP_003044349.1,ymfB,ECB_01132,b1134
YP_003044350.1,ymfC,ECB_01133,b1135
YP_003044351.1,icdA,ECB_01134,b1136
YP_003044065.1,tfaE,ECB_00847,b1156
YP_003044352.1,ycgW,ECB_01135,b1160
YP_003044353.1,ycgX,ECB_01136,b1161
YP_003044354.1,ycgE,ECB_01137,b1162
YP_003044355.1,ycgF,ECB_01138,b1163
YP_003044356.1,ycgZ,ECB_01139,b1164
YP_003044357.1,ymgA,ECB_01140,b1165
YP_003044358.1,ymgB,ECB_01141,b1166
YP_003044359.1,ymgC,ECB_01142,b1167
YP_003044360.1,ycgG,ECB_01143,b1168
YP_003044362.1,ymgD,ECB_01146,b1171
YP_003044365.1,minE,ECB_01149,b1174
YP_003044366.1,minD,ECB_01150,b1175
YP_003044367.1,minC,ECB_01151,b1176
YP_003044368.1,ycgJ,ECB_01152,b1177
YP_003044369.1,ycgK,ECB_01153,b1178
YP_003044370.1,ycgL,ECB_01154,b1179
YP_003044371.1,ycgM,ECB_01155,b1180
YP_003044372.1,ycgN,ECB_01156,b1181
YP_003044373.1,umuD,ECB_01158,b1183
YP_003044374.1,umuC,ECB_01159,b1184
YP_003044375.1,dsbB,ECB_01160,b1185
YP_003044376.1,nhaB,ECB_01161,b1186
YP_003044377.1,fadR,ECB_01162,b1187
YP_003044378.1,ycgB,ECB_01163,b1188
YP_003044379.1,dadA,ECB_01164,b1189
YP_003044380.1,dadX,ECB_01165,b1190
YP_003044381.1,ycgO,ECB_01166,b1191
YP_003044382.1,ldcA,ECB_01167,b1192
YP_003044383.1,mltE,ECB_01168,b1193
YP_003044384.1,ycgR,ECB_01169,b1194
YP_003044385.1,ymgE,ECB_01170,b1195
YP_003044386.1,ycgY,ECB_01171,b1196
YP_003044387.1,treA,ECB_01172,b1197
YP_003044388.1,dhaM,ECB_01173,b1198
YP_003044389.1,dhaL,ECB_01174,b1199
YP_003044390.1,dhaK,ECB_01175,b1200
YP_003044391.1,dhaR,ECB_01176,b1201
YP_003044392.1,ycgV,ECB_01177,b1202
YP_003044393.1,ychF,ECB_01178,b1203
YP_003044394.1,pth,ECB_01179,b1204
YP_003044395.1,ychH,ECB_01180,b1205
YP_003044396.1,ychM,ECB_01181,b1206
YP_003044397.1,prsA,ECB_01182,b1207
YP_003044398.1,ipk,ECB_01183,b1208
YP_003044399.1,lolB,ECB_01184,b1209
YP_003044400.1,hemA,ECB_01185,b1210
YP_003044401.1,prfA,ECB_01186,b1211
YP_003044402.1,hemK,ECB_01187,b1212
YP_003044403.1,ychQ,ECB_01188,b1213
YP_003044404.1,ychA,ECB_01189,b1214
YP_003044405.1,kdsA,ECB_01190,b1215
YP_003044409.1,chaA,ECB_01194,b1216
YP_003044410.1,chaB,ECB_01195,b1217
YP_003044411.1,chaC,ECB_01196,b1218
YP_003044412.1,ychN,ECB_01197,b1219
YP_003044413.1,ychP,ECB_01198,b1220
YP_003044414.1,narL,ECB_01199,b1221
YP_003044415.1,narX,ECB_01200,b1222
YP_003044416.1,narK,ECB_01201,b1223
YP_003044417.1,narG,ECB_01202,b1224
YP_003044418.1,narH,ECB_01203,b1225
YP_003044419.1,narJ,ECB_01204,b1226
YP_003044420.1,narI,ECB_01205,b1227
YP_003044421.1,purU,ECB_01208,b1232
YP_003044422.1,ychJ,ECB_01209,b1233
YP_003044423.1,ychK,ECB_01210,b1234
YP_003044424.1,hnr,ECB_01211,b1235
YP_003044425.1,galU,ECB_01212,b1236
YP_003044426.1,hns,ECB_01213,b1237
YP_003044427.1,tdk,ECB_01214,b1238
YP_003044428.1,adhE,ECB_01215,b1241
YP_003044429.1,ychE,ECB_01216,b1242
YP_003044430.1,oppA,ECB_01217,b1243
YP_003044431.1,oppB,ECB_01218,b1244
YP_003044432.1,oppC,ECB_01219,b1245
YP_003044433.1,oppD,ECB_01220,b1246
YP_003044434.1,oppF,ECB_01221,b1247
YP_003044435.1,yciU,ECB_01222,b1248
YP_003044436.1,cls,ECB_01223,b1249
YP_003044437.1,kch,ECB_01224,b1250
YP_003044438.1,yciI,ECB_01225,b1251
YP_003044439.1,tonB,ECB_01226,b1252
YP_003044440.1,yciA,ECB_01227,b1253
YP_003044441.1,ispZ,ECB_01228,b1254
YP_003044442.1,yciC,ECB_01229,b1255
YP_003044443.1,yciD,ECB_01230,b1256
YP_003044444.1,yciE,ECB_01231,b1257
YP_003044445.1,yciF,ECB_01232,b1258
YP_003044446.1,yciG,ECB_01233,b1259
YP_003044447.1,trpA,ECB_01234,b1260
YP_003044448.1,trpB,ECB_01235,b1261
YP_003044449.1,trpC,ECB_01236,b1262
YP_003044450.1,trpD,ECB_01237,b1263
YP_003044451.1,trpE,ECB_01238,b1264
YP_003044453.1,yciV,ECB_01240,b1266
YP_003046679.1,rph,ECB_03500,b1266
YP_003044454.1,yciO,ECB_01241,b1267
YP_003044457.1,yciL,ECB_01245,b1269
YP_003044458.1,btuR,ECB_01246,b1270
YP_003044459.1,yciK,ECB_01247,b1271
YP_003044460.1,sohB,ECB_01248,b1272
YP_003044461.1,yciN,ECB_01249,b1273
YP_003044462.1,topA,ECB_01250,b1274
YP_003044463.1,cysB,ECB_01251,b1275
YP_003044464.1,acnA,ECB_01253,b1276
YP_003044465.1,ribA,ECB_01254,b1277
YP_003044466.1,pgpB,ECB_01255,b1278
YP_003044467.1,yciS,ECB_01256,b1279
YP_003044468.1,yciM,ECB_01257,b1280
YP_003044469.1,pyrF,ECB_01258,b1281
YP_003044470.1,yciH,ECB_01259,b1282
YP_003044471.1,osmB,ECB_01260,b1283
YP_003044472.1,yciT,ECB_01261,b1284
YP_003044473.1,yciR,ECB_01262,b1285
YP_003044474.1,rnb,ECB_01263,b1286
YP_003044475.1,yciW,ECB_01264,b1287
YP_003044476.1,fabI,ECB_01265,b1288
YP_003044477.1,ycjD,ECB_01266,b1289
YP_003044478.1,sapF,ECB_01267,b1290
YP_003044479.1,sapD,ECB_01268,b1291
YP_003044480.1,sapC,ECB_01269,b1292
YP_003044481.1,sapB,ECB_01270,b1293
YP_003044482.1,sapA,ECB_01271,b1294
YP_003044483.1,ymjA,ECB_01272,b1295
YP_003044484.1,ycjJ,ECB_01273,b1296
YP_003044485.1,ycjK,ECB_01274,b1297
YP_003044486.1,puuD,ECB_01275,b1298
YP_003044487.1,ycjC,ECB_01276,b1299
YP_003044488.1,aldH,ECB_01277,b1300
YP_003044489.1,ordL,ECB_01278,b1301
YP_003044490.1,goaG,ECB_01279,b1302
YP_003044491.1,pspF,ECB_01280,b1303
YP_003044492.1,pspA,ECB_01281,b1304
YP_003044493.1,pspB,ECB_01282,b1305
YP_003044494.1,pspC,ECB_01283,b1306
YP_003044495.1,pspD,ECB_01284,b1307
YP_003044496.1,pspE,ECB_01285,b1308
YP_003044497.1,ycjM,ECB_01286,b1309
YP_003044498.1,ycjN,ECB_01287,b1310
YP_003044499.1,ycjO,ECB_01288,b1311
YP_003044500.1,ycjP,ECB_01289,b1312
YP_003044501.1,ycjQ,ECB_01290,b1313
YP_003044502.1,ycjR,ECB_01291,b1314
YP_003044503.1,ycjS,ECB_01292,b1315
YP_003044504.1,ycjT,ECB_01293,b1316
YP_003044505.1,ycjU,ECB_01294,b1317
YP_003044507.1,ompG,ECB_01296,b1319
YP_003044508.1,ycjW,ECB_01297,b1320
YP_003044509.1,ycjX,ECB_01298,b1321
YP_003044510.1,ycjF,ECB_01299,b1322
YP_003044511.1,tyrR,ECB_01300,b1323
YP_003044512.1,tpx,ECB_01301,b1324
YP_003044513.1,ycjG,ECB_01302,b1325
YP_003044514.1,ycjI,ECB_01303,b1326
YP_003044515.1,ycjY,ECB_01305,b1327
YP_003044516.1,ycjZ,ECB_01306,b1328
YP_003044517.1,mppA,ECB_01307,b1329
YP_003044518.1,ynaI,ECB_01308,b1330
YP_003044519.1,ynaJ,ECB_01309,b1332
YP_003044520.1,ydaA,ECB_01310,b1333
YP_003044521.1,fnr,ECB_01311,b1334
YP_003044522.1,ogt,ECB_01312,b1335
YP_003044523.1,abgT,ECB_01313,b1336
YP_003044524.1,abgB,ECB_01314,b1337
YP_003044525.1,abgA,ECB_01315,b1338
YP_003044526.1,abgR,ECB_01316,b1339
YP_003044527.1,ydaL,ECB_01317,b1340
YP_003044528.1,ydaM,ECB_01318,b1341
YP_003044529.1,zntB,ECB_01319,b1342
YP_003044530.1,dbpA,ECB_01320,b1343
